IP,NAMESERVER,Query time,Msg size,Actual Frequency [%],Max msg size,min msg size,avg msg size
14.215.150.17,f1g1ns1.dnspod.net,191msec,229,0.716490799686178,,,
111.161.57.77,f1g1ns1.dnspod.net,224msec,229,0.716578006453423,,,
111.161.57.77,f1g1ns1.dnspod.net,249msec,229,0.716665213220668,,,
14.215.155.156,f1g1ns1.dnspod.net,254msec,229,0.716752419987913,,,
14.215.155.170,f1g1ns1.dnspod.net,222msec,229,0.716839626755158,,,
14.215.150.17,f1g1ns1.dnspod.net,193msec,229,0.716926833522404,,,
111.161.57.81,f1g1ns2.dnspod.net,305msec,229,0.717014040289649,,,
14.215.155.203,f1g1ns2.dnspod.net,250msec,229,0.717101247056894,,,
58.247.212.48,f1g1ns2.dnspod.net,324msec,229,0.717188453824139,,,
58.247.212.119,f1g1ns2.dnspod.net,354msec,229,0.717275660591384,,,
14.215.155.170,f1g1ns1.dnspod.net,149msec,229,0.717362867358629,,,
14.215.150.17,f1g1ns1.dnspod.net,204msec,229,0.717450074125875,,,
111.161.57.77,f1g1ns1.dnspod.net,289msec,229,0.71753728089312,,,
14.215.155.203,f1g1ns2.dnspod.net,235msec,229,0.717624487660365,,,
58.247.212.48,f1g1ns2.dnspod.net,261msec,229,0.71771169442761,,,
58.247.212.119,f1g1ns2.dnspod.net,237msec,229,0.717798901194855,,,
111.161.57.81,f1g1ns2.dnspod.net,290msec,229,0.7178861079621,,,
111.161.57.77,f1g1ns1.dnspod.net,201msec,229,0.717973314729346,,,
14.215.155.156,f1g1ns1.dnspod.net,136msec,229,0.718060521496591,,,
14.215.155.170,f1g1ns1.dnspod.net,174msec,229,0.718147728263836,,,
14.215.150.17,f1g1ns1.dnspod.net,209msec,229,0.718234935031081,,,
111.161.57.81,f1g1ns2.dnspod.net,215msec,229,0.718322141798326,,,
14.215.155.203,f1g1ns2.dnspod.net,223msec,229,0.718409348565571,,,
58.247.212.48,f1g1ns2.dnspod.net,348msec,229,0.718496555332816,,,
58.247.212.119,f1g1ns2.dnspod.net,310msec,229,0.718583762100062,,,
14.215.155.203,f1g1ns2.dnspod.net,245msec,229,0.718670968867307,,,
58.247.212.48,f1g1ns2.dnspod.net,355msec,229,0.718758175634552,,,
58.247.212.119,f1g1ns2.dnspod.net,245msec,229,0.718845382401797,,,
111.161.57.81,f1g1ns2.dnspod.net,198msec,229,0.718932589169042,,,
14.215.155.156,f1g1ns1.dnspod.net,225msec,229,0.719019795936288,,,
14.215.155.170,f1g1ns1.dnspod.net,149msec,229,0.719107002703533,,,
14.215.150.17,f1g1ns1.dnspod.net,243msec,229,0.719194209470778,,,
111.161.57.77,f1g1ns1.dnspod.net,305msec,229,0.719281416238023,,,
14.215.155.156,f1g1ns1.dnspod.net,257msec,229,0.719368623005268,,,
14.215.155.170,f1g1ns1.dnspod.net,243msec,229,0.719455829772513,,,
14.215.150.17,f1g1ns1.dnspod.net,206msec,229,0.719543036539758,,,
111.161.57.77,f1g1ns1.dnspod.net,233msec,229,0.719630243307004,,,
14.215.155.203,f1g1ns2.dnspod.net,222msec,229,0.719717450074249,,,
58.247.212.48,f1g1ns2.dnspod.net,323msec,229,0.719804656841494,,,
58.247.212.119,f1g1ns2.dnspod.net,257msec,229,0.719891863608739,,,
111.161.57.81,f1g1ns2.dnspod.net,254msec,229,0.719979070375984,,,
14.215.155.203,f1g1ns2.dnspod.net,147msec,229,0.720066277143229,,,
58.247.212.48,f1g1ns2.dnspod.net,330msec,229,0.720153483910475,,,
58.247.212.119,f1g1ns2.dnspod.net,262msec,229,0.72024069067772,,,
111.161.57.81,f1g1ns2.dnspod.net,309msec,229,0.720327897444965,,,
14.215.155.156,f1g1ns1.dnspod.net,221msec,229,0.72041510421221,,,
