IP,NAMESERVER,Query time,Msg size
204.74.115.1,pdns6.ultradns.co.uk,10msec,394
204.13.251.31,ns4.p31.dynect.net,4msec,212
203.190.244.91,ns.detik.net.id,16msec,88
103.49.221.202,ns1.detik.net.id,18msec,89
203.190.242.2,ns.detik.com,,
162.159.25.4,ns2.dnsimple.com,76msec,89
162.159.24.4,ns1.dnsimple.com,73msec,89
204.13.250.19,ns2.p19.dynect.net,4msec,212
162.159.27.4,ns4.dnsimple.com,79msec,89
204.13.251.19,ns4.p19.dynect.net,4msec,212
208.78.70.19,ns1.p19.dynect.net,6msec,240
208.78.71.19,ns3.p19.dynect.net,5msec,240
162.159.26.4,ns3.dnsimple.com,77msec,89
1045.awsdns,n,,
122.awsdns,n,,
1936.awsdns,n,,
846.awsdns,n,,
52.74.43.18,ns4.dnsv4.com,4msec,240
183.232.90.141,ns4.dnsv4.com,77msec,240
223.166.151.14,ns4.dnsv4.com,,
111.161.57.58,ns4.dnsv4.com,332msec,240
61.151.180.50,ns4.dnsv4.com,,
223.166.151.15,ns4.dnsv4.com,,
162.14.18.188,ns4.dnsv4.com,5msec,240
58.251.86.11,ns4.dnsv4.com,468msec,240
14.215.150.15,ns4.dnsv4.com,269msec,240
61.151.180.49,ns3.dnsv4.com,,
59.36.120.145,ns3.dnsv4.com,246msec,240
61.129.8.140,ns3.dnsv4.com,,
125.39.213.169,ns3.dnsv4.com,413msec,240
182.140.167.169,ns3.dnsv4.com,,
162.14.18.121,ns3.dnsv4.com,4msec,240
183.232.90.141,ns3.dnsv4.com,78msec,240
52.74.43.18,ns3.dnsv4.com,4msec,240
14.215.150.14,ns3.dnsv4.com,,
1086.awsdns,n,,
1630.awsdns,n,,
47.awsdns,n,,
576.awsdns,n,,
204.13.250.24,ns2.p24.dynect.net,5msec,212
208.78.71.24,ns3.p24.dynect.net,4msec,240
208.78.70.24,ns1.p24.dynect.net,5msec,240
204.13.251.24,ns4.p24.dynect.net,3msec,212
1029.awsdns,n,,
925.awsdns,n,,
cloud,n,,
cloud,n,,
216.239.36.10,ns3.google.com,52msec,87
216.239.38.10,ns4.google.com,197msec,87
216.239.34.10,ns2.google.com,4msec,87
216.239.32.10,ns1.google.com,4msec,87
216.239.32.10,ns1.google.com,4msec,87
216.239.38.10,ns4.google.com,196msec,87
216.239.34.10,ns2.google.com,4msec,87
216.239.36.10,ns3.google.com,53msec,87
205.251.195.199,r2.amazonaws.com,249msec,286
156.154.64.10,u1.amazonaws.com,4msec,198
205.251.192.27,r1.amazonaws.com,302msec,286
156.154.65.10,u2.amazonaws.com,22msec,198
128.231.128.251,ns.nih.gov,,
156.154.66.17,ns3.bbc.co.uk,264msec,206
156.154.67.17,ns4.bbc.co.uk,340msec,206
156.154.64.17,ns3.bbc.net.uk,5msec,32
156.154.65.17,ns4.bbc.net.uk,4msec,32
208.94.149.4,ns15.dnsmadeeasy.com,3msec,465
208.80.127.4,ns14.dnsmadeeasy.com,50msec,465
208.80.126.4,ns12.dnsmadeeasy.com,56msec,465
208.80.124.4,ns11.dnsmadeeasy.com,35msec,465
208.80.125.4,ns13.dnsmadeeasy.com,35msec,465
208.94.148.4,ns10.dnsmadeeasy.com,4msec,465
216.239.32.10,ns1.google.com,4msec,87
216.239.34.10,ns2.google.com,4msec,87
216.239.38.10,ns4.google.com,232msec,87
216.239.36.10,ns3.google.com,51msec,87
208.78.70.1,ns1.p01.dynect.net,10msec,240
204.13.251.1,ns4.p01.dynect.net,5msec,212
208.78.71.1,ns3.p01.dynect.net,6msec,240
204.13.250.1,ns2.p01.dynect.net,4msec,212
173.245.58.61,alina.ns.cloudflare.com,5msec,73
173.245.59.128,kip.ns.cloudflare.com,4msec,71
198.51.44.4,dns1.p04.nsone.net,38msec,110
198.51.45.4,dns2.p04.nsone.net,40msec,110
198.51.44.68,dns3.p04.nsone.net,41msec,110
198.51.45.68,dns4.p04.nsone.net,42msec,110
45.54.51.1,ns01.theguardiandns.com,168msec,115
45.54.51.65,ns02.theguardiandns.com,179msec,115
45.54.51.129,ns03.theguardiandns.com,230msec,115
45.54.51.193,ns04.theguardiandns.com,238msec,115
52.74.43.18,ns4.dnsv4.com,4msec,240
183.232.90.141,ns4.dnsv4.com,77msec,240
223.166.151.14,ns4.dnsv4.com,,
111.161.57.58,ns4.dnsv4.com,321msec,240
61.151.180.50,ns4.dnsv4.com,,
223.166.151.15,ns4.dnsv4.com,,
162.14.18.188,ns4.dnsv4.com,4msec,240
58.251.86.11,ns4.dnsv4.com,407msec,240
14.215.150.15,ns4.dnsv4.com,209msec,240
61.151.180.49,ns3.dnsv4.com,,
59.36.120.145,ns3.dnsv4.com,259msec,240
61.129.8.140,ns3.dnsv4.com,,
125.39.213.169,ns3.dnsv4.com,302msec,240
182.140.167.169,ns3.dnsv4.com,,
162.14.18.121,ns3.dnsv4.com,5msec,240
183.232.90.141,ns3.dnsv4.com,79msec,240
52.74.43.18,ns3.dnsv4.com,5msec,240
14.215.150.14,ns3.dnsv4.com,203msec,240
173.245.59.114,gabe.ns.cloudflare.com,9msec,72
173.245.58.222,sima.ns.cloudflare.com,4msec,72
218.98.58.194,ns1.duowanns.com,426msec,527
117.91.188.194,ns1.duowanns.com,231msec,527
58.52.135.163,ns1.duowanns.com,245msec,527
161.117.97.232,ns1.duowanns.com,5msec,527
47.254.51.88,ns1.duowanns.com,285msec,527
222.73.62.136,ns1.duowanns.com,233msec,527
172.96.125.3,ns1.duowanns.com,436msec,527
14.17.109.83,ns1.duowanns.com,243msec,527
163.177.156.225,ns1.duowanns.com,534msec,527
14.17.109.84,ns2.duowanns.com,236msec,527
161.117.97.232,ns2.duowanns.com,4msec,527
117.91.188.195,ns2.duowanns.com,274msec,527
